ID,GENDER,AGE,TYPE
42647,M,61,Zwykły
42648,M,72,Stały klient
42649,M,5,Pracownik
42650,M,59,Pracownik
42651,K,59,Pracownik
42652,M,68,Pracownik
42653,K,30,Stały klient
42654,M,32,Zwykły
42655,M,17,Stały klient
42656,M,66,Pracownik
42657,K,7,Zwykły
42658,M,47,Stały klient
42659,M,34,Pracownik
42660,M,24,Pracownik
42661,K,15,Zwykły
42662,M,68,Pracownik
42663,K,63,Zwykły
42664,K,3,Pracownik
42665,K,23,Zwykły
42666,M,2,Zwykły
42667,K,53,Pracownik
42668,K,24,Pracownik
42669,K,14,Stały klient
42670,K,49,Zwykły
42671,K,51,Stały klient
42672,M,30,Zwykły
42673,M,78,Stały klient
42674,M,63,Stały klient
42675,K,18,Pracownik
42676,K,65,Stały klient
42677,K,40,Stały klient
42678,K,39,Pracownik
42679,K,66,Pracownik
42680,K,18,Stały klient
42681,M,36,Pracownik
42682,M,11,Stały klient
42683,K,15,Stały klient
42684,K,33,Zwykły
42685,K,36,Stały klient
42686,M,63,Stały klient
42687,K,46,Zwykły
42688,M,35,Pracownik
42689,M,6,Zwykły
42690,M,51,Zwykły
42691,K,14,Stały klient
42692,M,0,Pracownik
42693,K,0,Zwykły
42694,K,54,Stały klient
42695,M,11,Zwykły
42696,M,43,Stały klient
42697,M,12,Zwykły
42698,M,39,Pracownik
42699,K,52,Pracownik
42700,K,52,Pracownik
42701,M,14,Pracownik
42702,K,32,Pracownik
42703,K,31,Zwykły
42704,M,27,Pracownik
42705,K,63,Stały klient
42706,M,63,Zwykły
42707,K,24,Zwykły
42708,M,72,Stały klient
42709,K,55,Stały klient
42710,K,26,Pracownik
42711,M,17,Pracownik
42712,M,3,Stały klient
42713,M,44,Pracownik
42714,K,47,Zwykły
42715,K,31,Zwykły
42716,M,12,Pracownik
42717,K,25,Pracownik
42718,M,33,Zwykły
42719,K,42,Zwykły
42720,M,6,Pracownik
42721,M,33,Zwykły
42722,M,3,Pracownik
42723,K,58,Pracownik
42724,K,78,Zwykły
42725,K,19,Pracownik
42726,K,4,Zwykły
42727,K,57,Pracownik
42728,M,30,Stały klient
42729,M,23,Stały klient
42730,M,11,Zwykły
42731,M,43,Stały klient
42732,K,76,Pracownik
42733,K,2,Stały klient
42734,M,55,Pracownik
42735,M,67,Stały klient
42736,M,16,Pracownik
42737,K,64,Stały klient
42738,K,70,Zwykły
42739,M,4,Pracownik
42740,M,4,Stały klient
42741,K,55,Zwykły
42742,K,45,Stały klient
42743,K,62,Zwykły
42744,M,26,Stały klient
42745,K,28,Zwykły
42746,K,59,Pracownik
42747,K,50,Pracownik
42748,M,30,Pracownik
42749,M,60,Zwykły
42750,M,76,Stały klient
42751,M,80,Stały klient
42752,M,34,Zwykły
42753,M,68,Zwykły
42754,K,37,Pracownik
42755,M,66,Pracownik
42756,K,71,Pracownik
42757,M,58,Pracownik
42758,M,40,Pracownik
42759,K,16,Zwykły
42760,K,19,Pracownik
42761,K,28,Zwykły
42762,M,59,Pracownik
42763,M,64,Stały klient
42764,K,49,Zwykły
42765,M,29,Zwykły
42766,M,43,Zwykły
42767,K,30,Zwykły
42768,M,36,Stały klient
42769,K,75,Stały klient
42770,M,34,Stały klient
42771,M,26,Pracownik
42772,K,10,Zwykły
42773,K,54,Zwykły
42774,K,70,Stały klient
42775,M,55,Zwykły
42776,M,41,Pracownik
42777,M,39,Zwykły
42778,K,8,Zwykły
42779,M,1,Zwykły
42780,M,50,Pracownik
42781,M,56,Zwykły
42782,M,10,Zwykły
42783,K,7,Zwykły
42784,M,59,Pracownik
42785,K,44,Pracownik
42786,M,38,Zwykły
42787,K,53,Stały klient
42788,K,74,Pracownik
42789,M,15,Pracownik
42790,K,19,Pracownik
42791,M,5,Stały klient
42792,M,26,Stały klient
42793,K,37,Pracownik
42794,M,8,Zwykły
42795,K,17,Stały klient
42796,K,8,Zwykły
42797,K,21,Zwykły
42798,K,17,Zwykły
42799,M,7,Pracownik
42800,K,47,Pracownik
42801,K,42,Pracownik
42802,M,19,Stały klient
42803,K,5,Stały klient
42804,M,11,Zwykły
42805,K,50,Pracownik
42806,M,9,Pracownik
42807,M,48,Stały klient
42808,K,78,Stały klient
42809,M,5,Pracownik
42810,K,7,Stały klient
42811,M,19,Zwykły
42812,M,40,Pracownik
42813,K,23,Zwykły
42814,M,10,Pracownik
42815,K,52,Pracownik
42816,K,6,Zwykły
42817,K,1,Stały klient
42818,M,39,Zwykły
42819,K,64,Pracownik
42820,K,78,Zwykły
42821,M,34,Pracownik
42822,M,42,Zwykły
42823,M,65,Zwykły
42824,K,41,Pracownik
42825,K,10,Stały klient
42826,K,72,Pracownik
42827,M,5,Stały klient
42828,M,79,Pracownik
42829,M,2,Pracownik
42830,M,33,Pracownik
42831,K,52,Pracownik
42832,K,58,Pracownik
42833,K,40,Stały klient
42834,M,43,Zwykły
42835,K,23,Stały klient
42836,K,66,Pracownik
42837,K,14,Pracownik
42838,K,7,Stały klient
42839,K,44,Pracownik
42840,K,51,Zwykły
42841,M,6,Stały klient
42842,M,74,Stały klient
42843,K,29,Pracownik
42844,K,17,Pracownik
42845,K,29,Stały klient
42846,K,3,Stały klient
42847,M,21,Zwykły
42848,K,18,Stały klient
42849,K,53,Zwykły
42850,K,13,Zwykły
42851,K,55,Pracownik
42852,M,4,Stały klient
42853,M,36,Zwykły
42854,K,64,Stały klient
42855,K,10,Pracownik
42856,M,67,Zwykły
42857,K,74,Stały klient
42858,M,43,Pracownik
42859,K,25,Zwykły
42860,M,55,Stały klient
42861,K,40,Zwykły
42862,M,43,Zwykły
42863,M,22,Stały klient
42864,M,23,Zwykły
42865,M,27,Zwykły
42866,M,41,Stały klient
42867,M,40,Zwykły
42868,M,64,Zwykły
42869,K,39,Pracownik
42870,M,17,Pracownik
42871,M,32,Stały klient
42872,M,23,Zwykły
42873,M,54,Zwykły
42874,M,67,Pracownik
42875,K,14,Pracownik
42876,K,24,Pracownik
42877,M,13,Stały klient
42878,K,15,Stały klient
42879,M,64,Pracownik
42880,M,42,Pracownik
42881,M,4,Stały klient
42882,K,2,Zwykły
42883,M,54,Stały klient
42884,K,21,Pracownik
42885,M,18,Pracownik
42886,K,42,Stały klient
42887,K,74,Zwykły
42888,K,51,Zwykły
42889,K,34,Stały klient
42890,M,52,Stały klient
42891,K,1,Stały klient
42892,K,16,Zwykły
42893,M,40,Stały klient
42894,K,64,Pracownik
42895,K,65,Pracownik
42896,K,30,Stały klient
42897,M,4,Zwykły
42898,K,18,Zwykły
42899,K,31,Zwykły
42900,K,78,Zwykły
42901,K,11,Zwykły
42902,K,73,Pracownik
42903,M,68,Pracownik
42904,M,8,Stały klient
42905,M,50,Stały klient
42906,K,2,Pracownik
42907,M,8,Zwykły
42908,M,36,Stały klient
42909,M,59,Stały klient
42910,M,65,Zwykły
42911,M,50,Stały klient
42912,K,3,Zwykły
42913,K,46,Stały klient
42914,M,21,Stały klient
42915,K,53,Stały klient
42916,K,77,Pracownik
42917,M,50,Pracownik
42918,M,17,Pracownik
42919,M,64,Zwykły
42920,K,17,Pracownik
42921,M,44,Stały klient
42922,M,61,Stały klient
42923,M,76,Pracownik
42924,K,52,Zwykły
42925,K,44,Zwykły
42926,M,49,Zwykły
42927,M,50,Zwykły
42928,K,28,Stały klient
42929,K,77,Pracownik
42930,K,14,Zwykły
42931,M,6,Zwykły
42932,K,61,Pracownik
42933,M,54,Pracownik
42934,M,76,Pracownik
42935,K,50,Pracownik
42936,M,27,Pracownik
42937,M,60,Zwykły
42938,M,79,Stały klient
42939,M,21,Pracownik
42940,M,35,Zwykły
42941,K,38,Pracownik
42942,M,14,Zwykły
42943,K,12,Zwykły
42944,M,48,Pracownik
42945,K,43,Zwykły
42946,K,48,Pracownik
42947,M,75,Stały klient
42948,M,6,Pracownik
42949,M,21,Pracownik
42950,K,31,Stały klient
42951,M,22,Zwykły
42952,M,50,Stały klient
42953,K,52,Pracownik
42954,K,46,Pracownik
42955,M,66,Pracownik
42956,K,67,Stały klient
42957,K,72,Pracownik
42958,K,56,Stały klient
42959,M,70,Stały klient
42960,M,58,Zwykły
42961,M,13,Stały klient
42962,M,73,Stały klient
42963,K,11,Zwykły
42964,K,31,Stały klient
42965,M,5,Stały klient
42966,K,45,Stały klient
42967,K,11,Pracownik
42968,K,42,Stały klient
42969,K,8,Stały klient
42970,M,30,Stały klient
42971,M,18,Stały klient
42972,M,66,Pracownik
42973,M,37,Stały klient
42974,M,75,Zwykły
42975,M,6,Pracownik
42976,K,65,Pracownik
42977,K,79,Stały klient
42978,K,60,Zwykły
42979,K,9,Pracownik
42980,M,38,Zwykły
42981,M,21,Pracownik
42982,K,15,Pracownik
42983,M,13,Stały klient
42984,M,50,Stały klient
42985,K,39,Zwykły
42986,K,3,Zwykły
42987,K,34,Zwykły
42988,K,70,Pracownik
42989,M,19,Stały klient
42990,K,0,Stały klient
42991,M,8,Zwykły
42992,K,22,Pracownik
42993,K,12,Stały klient
42994,K,35,Zwykły
42995,K,57,Stały klient
42996,M,38,Pracownik
42997,M,39,Pracownik
42998,K,60,Zwykły
42999,K,5,Stały klient
43000,M,15,Pracownik
43001,M,34,Pracownik
43002,K,76,Stały klient
43003,K,36,Stały klient
43004,K,53,Zwykły
43005,M,11,Stały klient
43006,K,18,Pracownik
43007,M,27,Pracownik
43008,M,22,Zwykły
43009,M,44,Zwykły
43010,K,57,Pracownik
43011,M,67,Zwykły
43012,K,72,Zwykły
43013,M,47,Stały klient
43014,M,46,Pracownik
43015,M,25,Stały klient
43016,K,72,Zwykły
43017,K,29,Zwykły
43018,M,42,Zwykły
43019,M,20,Pracownik
43020,K,64,Stały klient
43021,K,29,Pracownik
43022,M,18,Stały klient
43023,K,21,Pracownik
43024,K,14,Stały klient
43025,M,28,Zwykły
43026,K,56,Stały klient
43027,M,57,Stały klient
43028,K,35,Stały klient
43029,K,23,Pracownik
43030,K,29,Stały klient
43031,M,36,Stały klient
43032,K,71,Stały klient
43033,K,42,Zwykły
43034,K,14,Zwykły
43035,K,53,Zwykły
43036,M,64,Pracownik
43037,M,27,Stały klient
43038,K,19,Pracownik
43039,M,66,Pracownik
43040,M,46,Stały klient
43041,K,74,Pracownik
43042,K,9,Stały klient
43043,M,55,Zwykły
43044,K,50,Pracownik
43045,K,55,Zwykły
43046,K,47,Pracownik
43047,M,29,Pracownik
43048,K,44,Zwykły
43049,K,28,Pracownik
43050,M,35,Zwykły
43051,M,31,Zwykły
43052,K,32,Pracownik
43053,K,75,Stały klient
43054,M,11,Stały klient
43055,K,29,Pracownik
43056,K,26,Stały klient
43057,M,75,Pracownik
43058,M,0,Stały klient
43059,K,53,Zwykły
43060,K,11,Zwykły
43061,M,21,Zwykły
43062,M,50,Zwykły
43063,M,58,Stały klient
43064,K,73,Zwykły
43065,M,66,Pracownik
43066,K,6,Pracownik
43067,K,75,Pracownik
43068,M,32,Zwykły
43069,K,10,Stały klient
43070,K,28,Stały klient
43071,M,61,Stały klient
43072,K,51,Zwykły
43073,K,72,Pracownik
43074,M,4,Zwykły
43075,M,75,Stały klient
43076,K,71,Zwykły
43077,K,71,Zwykły
43078,K,7,Zwykły
43079,K,27,Zwykły
43080,K,75,Stały klient
43081,M,15,Stały klient
43082,K,55,Zwykły
43083,K,12,Zwykły
43084,M,66,Pracownik
43085,K,4,Zwykły
43086,K,21,Stały klient
43087,K,76,Zwykły
43088,M,27,Stały klient
43089,K,7,Pracownik
43090,K,18,Zwykły
43091,K,54,Stały klient
43092,M,42,Stały klient
43093,M,20,Stały klient
43094,K,37,Stały klient
43095,M,6,Stały klient
43096,M,19,Pracownik
43097,K,69,Stały klient
43098,M,57,Stały klient
43099,K,37,Stały klient
43100,M,61,Zwykły
43101,K,31,Stały klient
43102,K,52,Pracownik
43103,M,21,Zwykły
43104,K,6,Stały klient
43105,M,0,Zwykły
43106,M,55,Pracownik
43107,K,52,Pracownik
43108,K,13,Stały klient
43109,M,63,Stały klient
43110,K,59,Zwykły
43111,K,73,Stały klient
43112,K,80,Zwykły
43113,K,20,Zwykły
43114,M,68,Zwykły
43115,K,21,Pracownik
43116,K,71,Pracownik
43117,K,15,Zwykły
43118,K,22,Stały klient
43119,M,30,Pracownik
43120,M,23,Zwykły
43121,K,71,Zwykły
43122,M,6,Stały klient
43123,M,79,Zwykły
43124,M,44,Zwykły
43125,K,44,Stały klient
43126,M,52,Zwykły
43127,K,69,Pracownik
43128,K,31,Stały klient
43129,K,49,Pracownik
43130,K,71,Zwykły
43131,K,66,Stały klient
43132,K,53,Zwykły
43133,K,19,Zwykły
43134,M,8,Zwykły
43135,M,74,Zwykły
43136,M,14,Zwykły
43137,K,22,Stały klient
43138,M,51,Stały klient
43139,M,64,Pracownik
43140,M,65,Zwykły
43141,M,55,Stały klient
43142,K,66,Stały klient
43143,M,37,Zwykły
43144,K,5,Stały klient
43145,M,42,Zwykły
43146,M,19,Zwykły
43147,M,2,Stały klient
43148,K,1,Pracownik
43149,K,17,Stały klient
43150,M,44,Stały klient
43151,M,25,Zwykły
43152,K,64,Stały klient
43153,M,74,Stały klient
43154,M,55,Pracownik
43155,K,57,Zwykły
43156,M,27,Pracownik
43157,K,37,Stały klient
43158,K,50,Pracownik
43159,K,15,Stały klient
43160,K,72,Pracownik
43161,K,13,Stały klient
43162,K,69,Zwykły
43163,K,39,Stały klient
43164,K,18,Pracownik
43165,M,32,Stały klient
43166,K,17,Stały klient
43167,M,15,Stały klient
43168,K,56,Zwykły
43169,M,13,Stały klient
43170,K,71,Stały klient
43171,M,1,Pracownik
43172,K,66,Pracownik
43173,M,28,Pracownik
43174,M,80,Zwykły
43175,K,57,Zwykły
43176,K,32,Pracownik
43177,M,20,Zwykły
43178,M,65,Zwykły
43179,K,73,Pracownik
43180,K,76,Zwykły
43181,K,17,Stały klient
43182,K,9,Pracownik
43183,M,45,Zwykły
43184,K,80,Stały klient
43185,K,45,Pracownik
43186,M,1,Zwykły
43187,K,12,Stały klient
43188,M,26,Pracownik
43189,M,7,Zwykły
43190,M,55,Stały klient
43191,M,18,Pracownik
43192,M,22,Stały klient
43193,M,27,Pracownik
43194,M,69,Pracownik
43195,M,30,Zwykły
43196,K,61,Zwykły
43197,K,76,Stały klient
43198,K,46,Zwykły
43199,K,80,Stały klient
43200,K,13,Pracownik
43201,K,72,Zwykły
43202,K,76,Stały klient
43203,M,34,Stały klient
43204,K,14,Zwykły
43205,K,70,Zwykły
43206,M,6,Pracownik
43207,M,57,Pracownik
43208,M,30,Zwykły
43209,K,39,Stały klient
43210,K,38,Pracownik
43211,K,27,Stały klient
43212,M,64,Zwykły
43213,M,55,Pracownik
43214,K,22,Pracownik
43215,K,24,Zwykły
43216,M,23,Zwykły
43217,K,49,Pracownik
43218,M,44,Stały klient
43219,K,69,Zwykły
43220,M,60,Zwykły
43221,M,38,Pracownik
43222,M,42,Zwykły
43223,K,63,Pracownik
43224,K,61,Pracownik
43225,K,32,Zwykły
43226,K,29,Pracownik
43227,M,8,Pracownik
43228,K,24,Zwykły
43229,K,21,Stały klient
43230,M,72,Pracownik
43231,M,21,Pracownik
43232,K,51,Stały klient
43233,M,79,Zwykły
43234,M,46,Stały klient
43235,K,8,Pracownik
43236,M,69,Pracownik
43237,M,22,Stały klient
43238,K,3,Stały klient
43239,M,29,Pracownik
43240,M,57,Zwykły
43241,K,74,Pracownik
43242,K,23,Pracownik
43243,K,14,Stały klient
43244,M,2,Stały klient
43245,M,63,Pracownik
43246,K,61,Pracownik
43247,M,4,Stały klient
43248,M,31,Stały klient
43249,K,50,Zwykły
43250,K,74,Pracownik
43251,M,14,Pracownik
43252,K,16,Pracownik
43253,K,16,Zwykły
43254,K,3,Stały klient
43255,M,65,Stały klient
43256,K,57,Stały klient
43257,M,50,Pracownik
43258,K,66,Pracownik
43259,K,64,Stały klient
43260,M,40,Zwykły
43261,M,10,Stały klient
43262,K,60,Stały klient
43263,K,30,Stały klient
43264,M,24,Pracownik
43265,M,25,Stały klient
43266,K,39,Stały klient
43267,M,5,Stały klient
43268,K,61,Pracownik
43269,K,33,Zwykły
43270,K,19,Zwykły
43271,K,50,Pracownik
43272,K,21,Pracownik
43273,M,12,Pracownik
43274,K,6,Pracownik
43275,K,18,Pracownik
43276,M,11,Pracownik
43277,M,33,Zwykły
43278,M,26,Zwykły
43279,M,31,Zwykły
43280,M,80,Stały klient
43281,M,33,Pracownik
43282,M,58,Stały klient
43283,M,78,Pracownik
43284,K,59,Stały klient
43285,K,3,Pracownik
43286,K,43,Pracownik
43287,K,37,Stały klient
43288,K,20,Stały klient
43289,K,14,Stały klient
43290,K,47,Pracownik
43291,M,75,Stały klient
43292,K,23,Zwykły
43293,M,75,Pracownik
43294,M,62,Zwykły
43295,M,48,Stały klient
43296,M,14,Pracownik
43297,M,52,Stały klient
43298,K,78,Pracownik
43299,M,20,Stały klient
43300,K,73,Pracownik
43301,K,72,Stały klient
43302,K,15,Zwykły
43303,K,3,Zwykły
43304,K,16,Pracownik
43305,M,33,Zwykły
43306,K,34,Stały klient
43307,K,43,Pracownik
43308,K,7,Stały klient
43309,M,33,Stały klient
43310,M,40,Pracownik
43311,M,3,Pracownik
43312,M,51,Stały klient
43313,M,66,Pracownik
43314,M,47,Stały klient
43315,M,30,Pracownik
43316,M,76,Zwykły
43317,M,4,Zwykły
43318,M,28,Stały klient
43319,K,52,Pracownik
43320,M,7,Zwykły
43321,M,52,Zwykły
43322,K,4,Pracownik
43323,M,31,Zwykły
43324,K,72,Pracownik
43325,K,26,Zwykły
43326,K,50,Zwykły
43327,M,22,Pracownik
43328,K,26,Pracownik
43329,K,13,Zwykły
43330,K,7,Zwykły
43331,K,21,Pracownik
43332,M,38,Zwykły
43333,M,56,Pracownik
43334,K,60,Zwykły
43335,K,13,Stały klient
43336,K,51,Zwykły
43337,M,1,Zwykły
43338,M,58,Pracownik
43339,M,30,Zwykły
43340,M,17,Pracownik
43341,K,57,Pracownik
43342,M,71,Zwykły
43343,M,20,Pracownik
43344,M,75,Stały klient
43345,M,38,Stały klient
43346,K,50,Stały klient
43347,M,25,Zwykły
43348,M,37,Pracownik
43349,M,66,Zwykły
43350,M,7,Zwykły
43351,M,32,Stały klient
43352,M,74,Stały klient
43353,K,48,Zwykły
43354,K,43,Zwykły
43355,K,38,Zwykły
43356,K,27,Pracownik
43357,M,3,Pracownik
43358,K,30,Stały klient
43359,K,48,Pracownik
43360,K,31,Pracownik
43361,K,50,Pracownik
43362,M,32,Pracownik
43363,K,51,Stały klient
43364,K,31,Stały klient
43365,M,45,Pracownik
43366,K,28,Zwykły
43367,K,63,Zwykły
43368,M,43,Stały klient
43369,M,11,Zwykły
43370,M,61,Stały klient
43371,K,21,Zwykły
43372,K,28,Zwykły
43373,M,14,Pracownik
43374,K,75,Zwykły
43375,K,41,Zwykły
43376,M,16,Pracownik
43377,K,59,Stały klient
43378,K,26,Zwykły
43379,K,53,Zwykły
43380,M,34,Stały klient
43381,K,51,Stały klient
43382,K,20,Pracownik
43383,M,78,Zwykły
43384,M,31,Pracownik
43385,M,72,Zwykły
43386,K,47,Stały klient
43387,M,19,Pracownik
43388,K,68,Stały klient
43389,K,12,Zwykły
43390,K,53,Zwykły
43391,M,10,Zwykły
43392,M,40,Stały klient
43393,M,42,Stały klient
43394,K,45,Zwykły
43395,M,16,Zwykły
43396,M,45,Zwykły
43397,M,41,Zwykły
43398,M,2,Stały klient
43399,M,47,Pracownik
43400,K,8,Zwykły
43401,M,71,Zwykły
43402,M,28,Stały klient
43403,K,22,Zwykły
43404,K,28,Stały klient
43405,M,48,Stały klient
43406,K,14,Pracownik
43407,K,52,Stały klient
43408,K,40,Pracownik
43409,K,14,Stały klient
43410,K,12,Stały klient
43411,M,44,Stały klient
43412,M,26,Stały klient
43413,M,49,Pracownik
43414,K,27,Zwykły
43415,K,9,Zwykły
43416,M,49,Pracownik
43417,M,33,Stały klient
43418,M,0,Stały klient
43419,M,42,Stały klient
43420,M,39,Stały klient
43421,M,80,Stały klient
43422,M,43,Stały klient
43423,K,58,Pracownik
43424,K,27,Stały klient
43425,M,79,Zwykły
43426,M,52,Stały klient
43427,M,0,Zwykły
43428,K,29,Stały klient
43429,M,58,Pracownik
43430,M,63,Pracownik
43431,K,24,Pracownik
43432,M,46,Pracownik
43433,M,56,Pracownik
43434,K,35,Zwykły
43435,K,30,Zwykły
43436,K,63,Pracownik
43437,K,42,Pracownik
43438,M,43,Zwykły
43439,K,79,Pracownik
43440,M,24,Pracownik
43441,K,52,Zwykły
43442,M,15,Stały klient
43443,M,48,Stały klient
43444,K,36,Pracownik
43445,M,40,Stały klient
43446,M,69,Stały klient
43447,M,77,Zwykły
43448,M,39,Stały klient
43449,K,77,Stały klient
43450,K,2,Stały klient
43451,K,69,Pracownik
43452,M,11,Stały klient
43453,M,0,Pracownik
43454,M,54,Stały klient
43455,M,75,Pracownik
43456,K,39,Stały klient
43457,K,13,Pracownik
43458,M,61,Zwykły
43459,K,28,Pracownik
43460,K,33,Pracownik
43461,K,44,Stały klient
43462,M,63,Zwykły
43463,M,12,Stały klient
43464,K,25,Zwykły
43465,M,32,Stały klient
43466,K,57,Pracownik
43467,M,66,Pracownik
43468,K,34,Stały klient
43469,K,66,Pracownik
43470,M,76,Stały klient
43471,M,0,Stały klient
43472,M,55,Zwykły
43473,K,24,Pracownik
43474,K,10,Pracownik
43475,K,31,Stały klient
43476,M,61,Stały klient
43477,M,60,Zwykły
43478,M,28,Pracownik
43479,K,58,Stały klient
43480,M,0,Pracownik
43481,M,26,Stały klient
43482,M,51,Zwykły
43483,K,3,Zwykły
43484,K,41,Stały klient
43485,M,69,Stały klient
43486,M,8,Pracownik
43487,K,73,Stały klient
43488,K,11,Zwykły
43489,M,61,Stały klient
43490,K,18,Zwykły
43491,K,66,Zwykły
43492,K,37,Stały klient
43493,M,51,Zwykły
43494,K,28,Pracownik
43495,M,49,Stały klient
43496,M,49,Zwykły
43497,K,36,Zwykły
43498,M,39,Stały klient
43499,M,65,Pracownik
43500,K,40,Pracownik
43501,M,10,Zwykły
43502,K,51,Zwykły
43503,M,5,Zwykły
43504,M,75,Stały klient
43505,M,15,Zwykły
43506,M,71,Zwykły
43507,K,43,Zwykły
43508,M,15,Zwykły
43509,M,28,Stały klient
43510,K,70,Pracownik
43511,K,79,Zwykły
43512,M,20,Stały klient
43513,K,10,Zwykły
43514,K,10,Zwykły
43515,M,59,Stały klient
43516,M,39,Zwykły
43517,M,30,Stały klient
43518,M,3,Stały klient
43519,M,0,Stały klient
43520,M,64,Pracownik
43521,K,68,Stały klient
43522,M,65,Zwykły
43523,M,14,Pracownik
43524,K,78,Stały klient
43525,M,1,Stały klient
43526,M,33,Zwykły
43527,M,47,Stały klient
43528,M,27,Stały klient
43529,M,73,Stały klient
43530,M,11,Stały klient
43531,M,18,Stały klient
43532,M,0,Pracownik
43533,M,28,Zwykły
43534,M,0,Pracownik
43535,M,43,Pracownik
43536,K,0,Pracownik
43537,K,6,Stały klient
43538,K,70,Pracownik
43539,M,39,Zwykły
43540,M,6,Pracownik
43541,M,52,Stały klient
43542,M,36,Zwykły
43543,M,55,Zwykły
43544,M,24,Zwykły
43545,K,75,Pracownik
43546,M,63,Stały klient
43547,K,42,Zwykły
43548,K,74,Stały klient
43549,K,10,Stały klient
43550,M,43,Zwykły
43551,M,60,Stały klient
43552,M,55,Zwykły
43553,K,58,Zwykły
43554,K,49,Zwykły
43555,M,35,Zwykły
43556,K,5,Stały klient
43557,M,39,Pracownik
43558,K,57,Stały klient
43559,K,42,Pracownik
43560,M,18,Zwykły
43561,M,40,Pracownik
43562,M,50,Zwykły
43563,M,29,Pracownik
43564,K,69,Pracownik
43565,M,63,Zwykły
43566,K,67,Pracownik
43567,K,22,Pracownik
43568,M,67,Stały klient
43569,M,48,Zwykły
43570,K,5,Zwykły
43571,M,9,Zwykły
43572,K,5,Zwykły
43573,M,18,Stały klient
43574,K,34,Pracownik
43575,K,78,Pracownik
43576,K,12,Zwykły
43577,K,34,Pracownik
43578,K,63,Zwykły
43579,M,0,Stały klient
43580,M,68,Zwykły
43581,M,29,Stały klient
43582,K,4,Stały klient
43583,K,80,Zwykły
43584,M,0,Pracownik
43585,M,31,Pracownik
43586,M,30,Pracownik
43587,M,16,Zwykły
43588,M,13,Stały klient
43589,M,28,Zwykły
43590,K,35,Stały klient
43591,M,72,Pracownik
43592,M,9,Zwykły
43593,K,70,Stały klient
43594,K,52,Stały klient
43595,K,47,Zwykły
43596,M,65,Stały klient
43597,K,59,Zwykły
43598,K,16,Zwykły
43599,M,43,Pracownik
43600,K,62,Pracownik
43601,K,31,Zwykły
43602,K,41,Pracownik
43603,K,65,Zwykły
43604,K,29,Zwykły
43605,M,71,Zwykły
43606,M,67,Zwykły
43607,K,4,Pracownik
43608,K,62,Stały klient
43609,M,10,Pracownik
43610,M,21,Zwykły
43611,K,77,Zwykły
43612,M,68,Stały klient
43613,M,26,Stały klient
43614,K,42,Zwykły
43615,M,53,Pracownik
43616,K,51,Stały klient
43617,K,27,Pracownik
43618,K,26,Pracownik
43619,M,71,Zwykły
43620,M,17,Zwykły
43621,M,69,Pracownik
43622,M,48,Zwykły
43623,K,50,Stały klient
43624,K,38,Stały klient
43625,K,26,Stały klient
43626,M,52,Zwykły
43627,K,65,Zwykły
43628,K,58,Zwykły
43629,K,52,Stały klient
43630,M,63,Zwykły
43631,M,34,Pracownik
43632,K,28,Zwykły
43633,K,38,Stały klient
43634,M,25,Stały klient
43635,M,30,Stały klient
43636,K,41,Pracownik
43637,K,8,Stały klient
43638,M,56,Stały klient
43639,K,15,Zwykły
43640,K,16,Zwykły
43641,K,63,Pracownik
43642,M,0,Stały klient
43643,M,75,Stały klient
43644,K,50,Pracownik
43645,K,47,Zwykły
43646,K,58,Stały klient
43647,K,35,Stały klient
43648,M,26,Stały klient
43649,K,17,Stały klient
43650,M,20,Zwykły
43651,K,53,Stały klient
43652,K,35,Zwykły
43653,K,2,Pracownik
43654,M,58,Stały klient
43655,K,52,Zwykły
43656,M,19,Zwykły
43657,M,60,Zwykły
43658,M,74,Zwykły
43659,M,15,Stały klient
43660,K,15,Stały klient
43661,M,47,Stały klient
43662,M,73,Pracownik
43663,M,49,Zwykły
43664,M,15,Pracownik
43665,K,27,Pracownik
43666,K,7,Pracownik
43667,M,16,Stały klient
43668,K,72,Pracownik
43669,M,15,Zwykły
43670,K,73,Zwykły
43671,M,54,Stały klient
43672,K,51,Zwykły
43673,K,33,Pracownik
43674,M,5,Pracownik
43675,K,76,Pracownik
43676,M,80,Zwykły
43677,M,11,Zwykły
43678,M,19,Zwykły
43679,K,54,Zwykły
43680,K,60,Pracownik
43681,K,6,Pracownik
43682,K,32,Zwykły
43683,M,57,Zwykły
43684,M,36,Pracownik
43685,K,32,Zwykły
43686,M,46,Zwykły
43687,M,25,Zwykły
43688,M,75,Stały klient
43689,K,32,Pracownik
43690,M,60,Pracownik
43691,K,71,Pracownik
43692,K,5,Pracownik
43693,K,13,Zwykły
43694,K,56,Zwykły
43695,M,1,Zwykły
43696,M,13,Zwykły
43697,K,43,Zwykły
43698,M,46,Pracownik
43699,M,50,Stały klient
43700,M,8,Stały klient
43701,M,66,Zwykły
43702,K,64,Stały klient
43703,K,72,Pracownik
43704,M,28,Zwykły
43705,M,63,Zwykły
43706,M,11,Stały klient
43707,K,19,Stały klient
43708,M,61,Stały klient
43709,M,36,Zwykły
43710,K,51,Stały klient
43711,K,5,Stały klient
43712,M,2,Zwykły
43713,K,21,Pracownik
43714,M,32,Stały klient
43715,M,35,Stały klient
43716,M,22,Stały klient
43717,M,63,Pracownik
43718,M,17,Zwykły
43719,M,47,Pracownik
43720,M,25,Pracownik
43721,K,79,Pracownik
